  Z  T1KEV (ENERGY SPECTRUM IN MB FOR K/T1=0,.1,.2,.3,.4,.5,.6,.7,.8,.9,.95,1)
  8    1.0  4.76184  4.91769  5.01790  5.06076  5.06927  5.05158  5.01329  4.96218  4.91085  4.87451  4.86471  4.84413
  8    2.5  6.32746  6.48834  6.48987  6.40515  6.27271  6.11396  5.94482  5.77605  5.61520  5.46436  5.39848  5.34377
  8    5.0  7.53363  7.61138  7.42688  7.14844  6.83734  6.53060  6.24220  5.98169  5.74958  5.55306  5.46650  5.38526
  8   10.0  8.65933  8.52095  8.04263  7.50236  6.99435  6.53719  6.13170  5.77287  5.46025  5.20274  5.10239  5.01786
  8   25.0 10.09650  9.45313  8.47050  7.57561  6.82024  6.17256  5.60909  5.10778  4.65394  4.24956  4.08661  3.98619
  8   50.0 10.96607  9.80999  8.44816  7.36079  6.47491  5.72189  5.06245  4.46548  3.91682  3.39637  3.15380  3.00439
  8   75.0 11.36085  9.82438  8.29164  7.12338  6.18310  5.39115  4.69710  4.06840  3.47651  2.90726  2.62481  2.42956
  8  100.0 11.53611  9.75018  8.12302  6.90662  5.94257  5.12945  4.42079  3.77751  3.17166  2.57714  2.27383  2.04270
  8  200.0 11.88921  9.42661  7.61475  6.31539  5.30445  4.46312  3.73553  3.08553  2.47978  1.88057  1.55864  1.25274
  8  300.0 12.06097  9.25540  7.35456  6.01554  4.97778  4.12244  3.38896  2.73840  2.14368  1.56129  1.24722   .91656
  8  400.0 12.23803  9.19059  7.24441  5.87383  4.81354  3.94436  3.20436  2.55364  1.96295  1.39047  1.08336   .73951
  8  500.0 12.36237  9.20491  7.19867  5.81742  4.73619  3.85476  3.10646  2.45113  1.86021  1.29202   .98691   .63250
  9    1.0  4.50448  4.65524  4.75868  4.80836  4.82791  4.82486  4.80518  4.77336  4.73889  4.71405  4.70819  4.69260
  9    2.5  6.08250  6.24866  6.27076  6.21071  6.10542  5.97292  5.82902  5.68275  5.54163  5.40694  5.34793  5.29798
  9    5.0  7.30985  7.41702  7.27143  7.03291  6.76004  6.48822  6.23109  5.99696  5.78922  5.60831  5.52727  5.45037
  9   10.0  8.45209  8.36842  7.94898  7.46145  6.99561  6.57519  6.20213  5.87628  5.59546  5.36650  5.27297  5.18996
  9   25.0  9.90995  9.33732  8.41925  7.57219  6.85492  6.24242  5.71102  5.24389  4.82451  4.46239  4.32115  4.22775
  9   50.0 10.80943  9.73013  8.42555  7.37420  6.51438  5.78637  5.14891  4.57843  4.05948  3.57713  3.36240  3.23277
  9   75.0 11.20566  9.76676  8.28280  7.14266  6.22303  5.44986  4.77275  4.16168  3.59370  3.05708  2.80085  2.63329
  9  100.0 11.44562  9.71305  8.12380  6.92952  5.98261  5.18394  4.48816  3.85949  3.27028  2.70325  2.42288  2.22431
  9  200.0 11.80594  9.41028  7.62741  6.34216  5.33921  4.50585  3.78427  3.14023  2.54325  1.95655  1.64789  1.37500
  9  300.0 11.97631  9.25043  7.37054  6.04111  5.00872  4.15618  3.42710  2.78119  2.18987  1.61567  1.31060  1.00962
  9  400.0 12.12248  9.18163  7.25614  5.89449  4.84061  3.97379  3.23721  2.58783  2.00030  1.43377  1.13251   .81515
  9  500.0 12.31967  9.19600  7.21055  5.83581  4.75980  3.88175  3.13477  2.48071  1.89188  1.32859  1.02827   .69815
 10    1.0  4.26401  4.40796  4.51171  4.56834  4.59648  4.60596  4.60318  4.58983  4.57301  4.56118  4.56011  4.54922
 10    2.5  5.85207  6.01691  6.05173  6.00905  5.92428  5.81443  5.69318  5.56890  5.44797  5.33261  5.28055  5.23551
 10    5.0  7.10697  7.22735  7.10991  6.90341  6.66171  6.41776  6.18804  5.97817  5.79000  5.62544  5.54973  5.47792
 10   10.0  8.26647  8.22289  7.85603  7.41272  6.98307  6.59400  6.24960  5.94985  5.69386  5.48337  5.39435  5.31267
 10   25.0  9.73403  9.22899  8.37047  7.56761  6.88500  6.30533  5.80470  5.36654  4.97550  4.64520  4.51841  4.42689
 10   50.0 10.65793  9.65594  8.40512  7.38650  6.55272  5.84663  5.23230  4.68527  4.19417  3.74391  3.55205  3.43404
 10   75.0 11.07211  9.71133  8.27500  7.16192  6.26301  5.50659  4.84656  4.25327  3.70721  3.20000  2.96523  2.81642
 10  100.0 11.32036  9.67376  8.12350  6.95140  6.02172  5.23654  4.55376  3.93984  3.36746  2.82560  2.56562  2.38987
 10  200.0 11.70982  9.39784  7.64107  6.36799  5.37417  4.54679  3.83235  3.19434  2.60521  2.03225  1.73596  1.49124
 10  300.0 11.92462  9.24499  7.38841  6.06672  5.03881  4.19121  3.46557  2.82335  2.23654  1.67065  1.37366  1.09855
 10  400.0 12.06995  9.17551  7.26888  5.91627  4.86684  4.00346  3.26932  2.62340  2.03805  1.47756  1.18225   .88856
 10  500.0 12.23358  9.18988  7.22242  5.85530  4.78355  3.90792  3.16334  2.51163  1.92493  1.36453  1.07012   .76145
 11    1.0  4.04033  4.17834  4.28109  4.34126  4.37745  4.39888  4.41047  4.41538  4.41657  4.41640  4.41995  4.41423
 11    2.5  5.63154  5.79587  5.83789  5.80818  5.73976  5.64878  5.54692  5.44494  5.34525  5.24983  5.20533  5.16526
 11    5.0  6.91220  7.04064  6.94813  6.76657  6.54944  6.33053  6.12294  5.93355  5.76468  5.61433  5.54549  5.48027
 11   10.0  8.09251  8.08441  7.76314  7.35717  6.95925  6.59639  6.27592  5.99864  5.76167  5.56388  5.47810  5.39759
 11   25.0  9.57179  9.12911  8.32200  7.55976  6.91155  6.36130  5.88909  5.47595  5.10861  4.80216  4.68374  4.59018
 11   50.0 10.53078  9.58739  8.38474  7.39770  6.58889  5.90477  5.31155  4.78803  4.32204  3.89817  3.72323  3.61085
 11   75.0 10.96966  9.66231  8.26824  7.18118  6.30092  5.56135  4.91746  4.34106  3.81597  3.33516  3.11922  2.98336
